Unnamed: 0,Titulo,Categoria,Autor,Data,URL,Noticia,Label,Subtitulo
2705,Americanos assustados sinalizam lenta recuperação do consumo  ,saúde,Christopher Condon,11/05/2020 14h25 ,,"david wright, de 62 anos, estava na porta da sua loja replay arcade na semana passada, tentando ver o lado positivo das coisas. como único proprietário, ele é inquilino do mall of georgia, que ficou fechado por um mês, mas reabriu em 4 de maio. "" mesmo com a suposição de que o vírus que causa a covid-19 estará sob controle nas próximas semanas, a economia dos eua enfrenta uma lenta e dolorosa batalha contra a devastadora crise de saúde pública. os consumidores respondem por 70% do pib dos eua e foram atingidos em várias frentes. para alguns, foi um golpe certeiro na conta bancária. outros foram afetados em suas condições de assalariados, consumidores e animais sociais.",0,
17162,Saúde autoriza mais 32 leitos de UTI Covid-19 para Santa Catarina,saúde, ,14/04/2021 17h55,,"o ministério da saúde autorizou, nesta quarta-feira (14/04), mais 32 leitos de uti adulto ao estado de santa catarina para atendimento exclusivo aos pacientes graves com covid-19, em caráter excepcional e temporário. ao total, quatro municípios catarinenses foram beneficiados, conforme portaria publicada no diário oficial da união (dou) – acesse aqui. o valor do repasse mensal será de r$ 1,5 milhão, correspondente à abril. a autorização de leitos de uti covid-19 ocorre sob demanda dos estados, que têm autonomia para disponibilizar e financiar quantos leitos forem necessários. apesar disso, o ministério da saúde, em decorrência do atual cenário de emergência, disponibiliza recursos financeiros e auxílio técnico para o enfrentamento da doença.",0,
21589,Sisu 2021: como funciona a seleção unificada de universidades para participantes do Enem,brasil,,7:24 6 abril 2021,,"as inscrições para o sisu 2021 (sistema de seleção unificado) estão abertas. é a oportunidade de estudantes que fizeram o exame nacional do ensino médio (enem) concorrerem a vagas em universidades públicas estaduais e federais de todo o país. o calendário do sisu foi modificado para acompanhar o adiamento do enem 2020, por conta da pandemia - as provas do exame, inicialmente previstas para novembro, foram realizadas entre janeiro e fevereiro de 2021. a seleção acontece duas vezes por ano: uma no início do primeiro semestre e a outra no início do segundo semestre. o processo seletivo é totalmente automatizado e utiliza as notas no enem para classificar os candidatos.",0,
4689,Anvisa dá autorização para distribuição de oxigênio com pureza menor em Manaus  ,saúde,João Ker,15/01/2021 14h30 ,,"a agência nacional de vigilância sanitária (anvisa) concedeu autorização excepcional para que a white martins, empresa que fornece oxigênio para o amazonas, produzisse a substância com grau de pureza 95%, abaixo dos 99% habituais. na noite de ontem, o presidente venezuelano nicolás maduro já havia autorizado a carga a sair do país. "" em nota, a anvisa confirmou que a autorização emergencial de oxigênio com 95% de pureza foi concedida para as unidades da rede estadual de saúde do amazonas pelo prazo de 180 dias, sob duas condições: que a pureza correta do produto fosse informada aos profissionais e serviços de saúde e que a distribuição cessasse ""assim que a situação for normalizada"". ""luisa explica que geralmente as produções de oxigênio hospitalar são feitas pela purificação do ar que a gente respira, composto geralmente por 21% de oxigênio e, em proporção majoritária, 78% de nitrogênio, além de outros gases. "" ""a taxa de 95%, ela afirma, não chega a ser prejudicial. """,0,
7020,STF recebe novas ações contra descontos na mensalidade escolar  ,saúde,18/07/2020 13h03 ,18/07/2020 13h03 ,,"as associações que representam escolas e faculdades particulares entraram com novas ações no stf (supremo tribunal federal) para suspenderem leis estaduais que concederam descontos lineares nas mensalidades. nas ações, as entidades pedem uma liminar para proibir a concessão de desconto compulsório. devido ao recesso de julho na corte ainda não há prazo para decisão. as duas novas ações foram protocoladas pelo conselho de reitores das universidades brasileiras e a anup (associação nacional das universidades particulares). as entidades alegam que as normas de vários estados retiram das escolas privadas o poder de negociar com os pais ou alunos individualmente os atrasos no pagamento, beneficiando quem não teve a renda afetada durante a pandemia. além disso, o setor alega que o serviço educacional continua sendo prestado de forma remota, por meio de aulas virtuais, autorizadas pelo conselho nacional de educação.",0,
8628,"EUA e China não devem deixar Brasil 'de joelhos' por vacina, diz Kátia Abreu  ",política,Mariana Sanches - @mariana_sanches - Da BBC News Brasil em Washington,23/03/2021 07h51 ,,"""estamos precisando falar para o mundo que nos convertemos em um grande covidário. representamos um risco global de ser produtor de novas cepas. seu foco está nos dois maiores parceiros comerciais do brasil: eua e china. ela já promoveu reunião entre senadores e o embaixador chinês yang wanming, levou ao ministro da saúde eduardo pazuello possibilidade de negociação com novos laboratórios chineses e seu último movimento foi costurar com o presidente do senado, rodrigo pacheco (dem-mg), uma carta apelo à vice-presidente americana kamala harris para que os americanos vendam ao brasil parte de seu suprimento de vacinas astrazeneca-oxford, que ainda não tem autorização para uso emergencial pelo órgão regulador dos eua, a fda.",0,
26142,"Casos de covid-19 podem ser de 12 a 15 vezes o dado oficial, dizem estudos  ",saúde,"Carolina Marins, Igor Mello e Marcelo Oliveira",14/04/2020 04h00Atualizada em 18/04/2020 10h51 ,,"o brasil ultrapassou o número de 20 mil contaminados pelo novo coronavírus neste final de semana. porém, pesquisas brasileiras apontam que o dado pode ser de 12 a 15 vezes maior do que o reportado pelo ministério da saúde. a baixa capacidade de testagem do brasil é apontada como principal causa de subnotificação, como já admitiu o chefe da pasta, luiz henrique mandetta. duas projeções feitas por dois grupos de pesquisa diferentes apontam resultados semelhantes sobre a alta subnotificação de casos no país: o cálculo do número de casos feito pela covid-19 brasil usa como base a curva epidemiológica da coreia do sul, país que mais aplicou testes proporcionalmente em todo o mundo.",0,
26043,"Adega que vendeu respiradores para o AM repassou R$ 2,2 mi para o exterior  ",saúde,Flávio Costa e Rosiene Carvalho,01/07/2020 14h22Atualizada em 01/07/2020 14h30 ,,"mais de r$ 2,2 milhões pagos pelo governo do amazonas pela compra suspeita de respiradores em meio à pandemia do novo coronavírus foram enviados para uma conta no exterior. a operação carrega indícios de lavagem de dinheiro, de acordo com avaliação da pf (polícia federal) e pgr (procuradoria geral da república). a jalusa é uma companhia americana que forneceu os equipamentos à fjap cia. ela havia vencido uma licitação anterior, porém, estranhamente, não entregou os aparelhos para o governo amazonense.",0,
13,"Aos 93 anos, Cid Moreira toma a primeira dose da vacina contra Covid-19  ",saúde,12/02/2021 16h47 ,12/02/2021 16h47 ,,"o apresentador cid moreira, de 93 anos de idade, compartilhou em seu instagram o momento em que estava indo tomar a primeira dose da vacina contra a covid-19. o dono da ""boa noite"" mais famoso do brasil compartilhou registros em que aparece usando óculos escuros e máscara, de dentro do carro o apresentador conversou com as profissionais da saúde de um posto de petrópolis, na região serrana do rio.",0,
9289,Presidente do Palmeiras veta treino sem aval: 'Nos preocupamos com saúde'  ,saúde,13/06/2020 15h29 ,13/06/2020 15h29 ,,"o palmeiras não retomará treinamentos presenciais enquanto não tiver aval das autoridades sanitárias. o dirigente se reuniu com o prefeito de são paulo, bruno covas (psdb) na quinta-feira, e ainda não teve resposta sobre a data de liberação. "" no momento certo, em que estivermos com as autorizações, estaremos juntos, atletas, comissão técnica, atendo ao protocolo de segurança e orientação, para que a gente possa fazer os treinamentos de forma que todos tenham segurança no trabalho. em breve, estaremos juntos, torcedor"", reforçou o presidente, em publicação que teve também imagens do trabalho à distância realizado pelo elenco na última sexta-feira. avantipalestra #jogandoemcasa pic.twitter.com/tavvb9ou9d",0,
